name,price,status,shipping,free_returns,items_sold
Spalding NBA Basketball Game New Official Size 7 29.5 Men’s Outdoor and Indoor,2294,Brand New,0,False,
Jordan Men's T-Shirt Jumpman Short Sleeve Crew Athletic Active Basketball Tee,1988,Brand New,0,True,
2022-23 Chronicles Draft Basketball #23 WALKER KESSLER RC,149,Pre-Owned,24,False,
"STEPHEN CURRY 2009-10 NBA DRAFT Rookie Phenoms Card, Lim. Ed. Golden State ,NM💎",498,,100,False,
2020-21 Panini CHRONICLES BASKETBALL Factory Sealed 12 Cello Pack FAT PACK Box ,5999,,0,False,201
Nike Air Max Excee Shoes White Pure Platinum CD4165-100 Men's Multi Size NEW,10000,Brand New,1495,False,39
NEW 2021-22 Panini NBA Select Basketball Blaster Box 🔥,4075,Brand New,0,False,24
2020-21 PANINI PRIZM NBA BASKETBALL MEGA BOX TARGET LAMELO EDWARDS RC RED ICE ,10995,Brand New,0,False,121
Nike Air Jordan 9 Retro Boot NRG Military Brown Legion Green Mens AR4491-200 NEW,15199,Brand New,1495,False,20
2022-23 Panini Chronicles Draft Picks Basketball Hobby Box Factory Sealed NBA,11599,Brand New,0,False,
MICHAEL JORDAN 1998 REFRACTOR AUTOGRAPHED GEM MT 10 23KT GOLD 1986 ROOKIE CARD!,3495,,299,False,242
Basketball Sneaker Shoe Hip Pop Sports Hoodie Sweatshirt Sweater Pullover Jacket,1999,Brand New,0,False,
2021-22 Panini Select Basketball H2 Hybrid Hobby Box Factory Sealed,19999,,0,True,
2021-22 Panini Crown Royale Asia Tmall Basketball Factory Sealed Hobby Box NBA,5795,Brand New,0,False,55
1999-00 UD MVP Basketball MJ Exclusives Michael Jordan Singles - You Choose,199,,50,False,
Nike RENEW ELEVATE 3 Men's Black Anthracite DD9304-002 Basketball Sneakers Shoes,6995,Brand New,0,False,
2022 Panini Prizm Basketball Purple Wave Prizm Pick Player Complete Your Set,149,,0,False,
2021-22 Bowman University Basketball Pick Your Card Complete Your Set,99,,99,False,
1996-97 Topps Chrome Season's Best Basketball Card #SB22 Shawn Bradley,99,,99,False,
Jordan Men's Stay Loyal Black Basketball Shoes DB2884 002,9738,Brand New,0,True,
1970-71 TOPPS BASKETBALL CARD SINGLES COMPLETE YOUR SET U-PICK UPDATED 10/11,199,,0,False,
1971-72 Topps Basketball - Pick A Card,249,,99,True,
Nike Dunk Low Retro White Black Panda MENS DD1391-100 GS CW1590-100,15500,Brand New,1495,False,
Air Jordan 1 Low Bulls WHITE BLACK-RED  MENS 553558-163,10500,Brand New,1495,False,21
2022-2023 Michigan Wolverines Schedule 🏀 Cool College Basketball Sked 🏀 GREAT,145,,75,False,
NIB MEN NIKE CW3403 003 NIKE PRECISION V 5 BASKETBALL BLACK/WHITE SHOES SNEAKERS,4995,Brand New,1300,False,
Nike Air Max Impact 3 Black DC3725-006 Basketball Shoes,5999,New (Other),0,False,
2022-23 Panini Chronicles Draft Picks Basketball Hobby Box Factory Sealed NBA,11999,,0,True,
2021-2022 Panini Contenders Basketball Fanatics Exclusive Blaster Box,2499,Brand New,499,False,
Running Shoes Sneakers Casual Men's Outdoor Athletic Jogging Sports Tennis Gym,1760,New (Other),0,True,272
1986-87 Fleer Basketball Cards Complete Your Set - Pick List 1-132 + Stickers,800,,450,False,
Nike Air Jordan 3 Retro Shoes Fire Red Cement Gray DN3707-160 Men's or GS NEW,11623,Brand New,1495,True,
2020-21 Prizm Basketball NBA Hanger Box - New Sealed - Orange Ice Lamelo Edwards,5589,Brand New,0,False,12
Nike Air Force 1 Low White '07 CW2288-111,10000,Brand New,1495,False,268
1993-94 Topps Finest Basketball Single You Pick Your Cards,130,Pre-Owned,0,False,
MICHAEL JORDAN 1998 FLEER ROOKIE 23K Gold Card RED PRIZM REFRACTOR - GEM MINT 10,1795,,0,True,418
2021-22 Panini Donruss Optic Basketball inserts complete your sets PICK A0053,100,,55,True,
ANDREW NEMBHARD 2022-23 Panini Instant RPS FIRST LOOK RC #RPS-28,299,Pre-Owned,0,False,
2021-22 Panini Chronicles Basketball You Pick #236-725 ***You Pick*** Free Ship,149,Pre-Owned,0,False,
Nike Air Jordan 1 Mid Lakers Purple University Gold 2022 Mens DQ8426-517 NEW,10999,Brand New,1495,False,
Air Jordan 3 Retro Fire Red MENS DN3707-160 GS DM0967-160,12900,Brand New,1495,False,45
Nike Dunk High Lakers DD1399-500 Men Size 7.5-14,10000,Brand New,1495,False,
Sports Team Basketball NBA NFL MLB Shoe Charms for Crocs ($2 Each),200,New (Other),399,False,
Nike Kyrie Flytrap 5 V White Grey Crimson Red basketball shoes new Men's Size 14,6000,Brand New,1999,False,
Nike FLY BY MID 3 Men's White Grey DD9311-101 Basketball Sneakers Shoes,6495,Brand New,0,False,
Nike Men's 2-Piece Jogger Set Fleece Athletic Jogger Pants and Hoodie Tracksuit,7488,Brand New,0,True,
Heated Vest Men Women USB Heated Jacket Heating Vest Thermal Clothing Hunting,1499,New (Other),0,True,
Shop on eBay,2000,Brand New,,False,
Victor Wembanyama Rookie Card / LDLC ASVEL / RC / Generation Next,599,,60,False,71
2022-23 Panini Instant Shaedon Sharpe ROOKIE CARD SP Trail Blazers #30 RC 🔥,1999,,100,False,
Victor Wembanyama Rookie Card / Nanterre 92 / RC / Generation Next,599,,60,False,61
1996-97 Topps Basketball Cards #1-221 - YOU PICK - Complete Your Set ,129,Pre-Owned,75,False,
Adidas Terrex AX2S Low Top Men's Hiking Shoes Olive Black Brown Boots NEW GY8311,6977,Brand New,0,False,
2020-21 Panini Prizm NBA Basketball Hanger Box Factory Sealed SHIPS FAST 🚚🔥,4999,,0,False,
Nike Lebron XX EP 20 The Debut James White Gold Men Basketball Shoes DJ5422-100,22499,Brand New,0,False,
1987-88 Fleer Basketball - Pick A Card,139,,99,True,
"AND1 Fantom Street Basketball 29.5 Full Size, Black deflated",1789,Brand New,0,False,
Nike FLY BY MID 3 Men's Black White DD9311-006 Basketball Sneakers Shoes,6495,Brand New,0,False,
Nike RENEW ELEVATE 3 Men's Black Anthracite DD9304-001 Basketball Sneakers Shoes,6995,Brand New,0,False,
Adidas Originals X PLR Men’s Athletic Sneaker White Running Shoe #008,5399,Brand New,0,True,
2017-18 Prestige #157 Lauri Markkanen RC,99,Pre-Owned,89,False,
Nike Kyrie Flytrap 4 Sneaker Red White CT1972-600 Men’s Basketball Shoes ,5999,Brand New,0,False,
(6 Pairs) Copper Compression 20-30mmHg Graduated Support Socks Mens Womens S-XXL,685,Brand New,0,True,400
Mens Casual Mesh Shorts Basketball Sports Two Stripe Gym Pants Workout Summer,1095,Brand New,0,False,
Nike Air Jordan 1 Mid Ice Blue Black White UNC Shoes 555112-401 (GS) Youth Sizes,10000,Brand New,1495,False,
2021/22 Leaf METAL Basketball Factory Sealed HOBBY Box-5 AUTOGRAPHS! Loaded!,6995,Brand New,0,False,80
NBA 2K23 Standard Edition - PlayStation 5,,Brand New,0,False,
2021-22 Panini Prizm Basketball Dominance Insert Singles YOU PICK Buy More Save!,99,Pre-Owned,0,False,
1990-91 Hoops Basketball Cards Complete Your Set U-Pick 244-440 Nm-Mint,100,Pre-Owned,75,False,
"Wilson NCAA Final Four Edition Basketball, Orange, Official Size - 29.5 In",2495,Brand New,0,False,
 2020-21 PANINI SELECT NBA BASKETBALL BLASTER BOX LAMELO EDWARDS RC FLASH PRIZM,3995,,0,False,250
PUMA Men's Essentials Logo Pants,2299,Brand New,0,True,103
2021-22 Panini Recon Basketball Card Pick,99,,450,True,
New Nike Air Jordan 1 Retro Mid Shadow Red Black Grey 2021 Basketball Mens Size,14925,Brand New,1495,False,52
Champion Sweatpants Men's Jersey Joggers Side Pockets Comfortable Athletic Fit,2250,Brand New,0,True,63
Throwback North Carolina #23 Jordan Basketball Jersey Adult and Youth Size,2599,Brand New,0,False,
Men's Walking Tennis Shoes Casual Sneakers Outdoor Athletic Sports Running Gym,1759,New (Other),0,True,
Nike Men's Active Sportswear Long Sleeve Fleece Workout Gym Pullover Hoodie,4788,Brand New,0,True,
2021-2022 Panini Donruss NBA Basketball Blaster Box 88 Cards 11 Packs,3949,Brand New,0,False,
1973-74 Topps Basketball - Pick A Card - Cards 1-130,99,,99,True,
Nike Air Jordan Stay Loyal Men’s White Black Red ALL SIZE 8 to 13 New DB2884-106,10895,Brand New,1495,False,
2023 Under Armour Unisex/Men's UA Lockdown 6 Basketball Shoes Stephen Curry,6999,Brand New,1575,False,
2022 Panini Select NBA Trading Card Blaster Boxes NEW + Free Shipping,3199,Brand New,0,False,
2021-22 Donruss Optic Basketball Veteran and Rated Rookie Base 1-200 You Pick,99,Pre-Owned,0,False,
2021-22 Panini Donruss Optic Basketball NBA Blaster Box Factory Sealed In Hand,3395,,0,False,
Puma 376451-04 Triple Mid   Mens Basketball Sneakers Shoes Casual   - Yellow -,3759,Brand New,0,True,
