name,price,status,shipping,free_returns,items_sold
Roller Identity Theft Protection Stamp Guard Your ID Privacy Confidential Data,669,Brand New,0,True,
Return To Sender Not At This Address Self Inking Rubber Stamp Combo With Refill,1049,Brand New,0,False,85
DIY Rubber Stamp Kit Self Inking Business Address Garage Name - You Personalise,1326,Brand New,0,False,
"2022 Ukraine,  Pre-order ! ""  Christmas in the War "" . One full sheet of stamps.",1995,,0,False,
US-2022 Scott #5748 Single MNH Stamp - Hanukkah. Free Shipping.,144,,0,False,56
Pokemon Postage Stamp Sheet Nintendo Season's Greetings 2000 Christmas Pikachu,315,Brand New,0,False,449
4.5 ounces of Used on Paper US Stamps 1890's-2000's  FREE SHIPPING!!!,1199,,0,False,
"Pane of 20 Charles M Schulz ""Peanuts"" Stamps USPS Stamp",1700,,0,True,
Postage Stamp Keeper Holder Desktop Dispenser Roll Storage (stamps NOT included),795,Brand New,0,False,
DISCOUNT POSTAGE ~ $20.00 IN U.S. POSTAGE STAMPS ONLY $15.99,1599,,50,False,742
100 44c NEW POSTCARD RATE 2 STAMP COMBOS  BELOW $44.00 FACE,3695,,0,True,
Specialist ID 3 Card Heavy Duty Plastic Badge Holder with Lanyard - Top Load,1099,New (Other),0,False,3247
"DABPRESS Herb Extraction Pressing Micron Bags Pair It with 2x4"" Pre Press Mold",1999,Brand New,500,True,
Recollections Christmas Stamp LOT to choose from NEW,474,Brand New,399,True,
US Stamp 1973 Love - 50 Stamp Sheet - #1475,795,,500,False,9
￼Qatar 20-11-2022 FIFA Opening Ceremony Golden Stamp - Al Bayt Stadium-WORLD CUP,1299,,999,True,
Shiny 6IV Adamant Mold Breaker Tinkatink Pokémon Scarlet/Violet ***READ ME***,466,Brand New,0,True,23
Stampin' Up - Christmas Stamps **RETIRED** NEVER USED,1200,Brand New,100,False,
"ABN Metal 1/4"" Inch Stamping 36-Piece Tool Kit – Embossing & Engraving Stamp Set",1699,Brand New,0,True,
US American Flag 3x5ft Heavy Duty Embroidered Stars Sewn Stripes Grommets Nylon,993,Brand New,0,True,
2022 US Stamp - Butterfly Garden Flowers - Coil Pair - SC# 5664 - 5665,99,,0,False,
BRAND NEW KWIK STAMP Plus II 2 Custom Stamp - Stamps Self Inking VINTAGE,899,Brand New,0,False,46
Mint US Mountain Flora Booklet Pane of 20 Forever Stamps U.S. postal service ,1100,,0,False,
DENNISEN Prefolded Stamp HINGES Pack of 1000,646,Brand New,0,True,1225
"Russian Warship, Go F**K Yourself! Glory to Ukraine! W/2022 - Ukrposhta Stamp",4655,,900,True,
2022USA Forever Women Cryptologists of World War II - Single Stamp  Mint NH,139,,30,False,
"Ukraine 2022 Stamp Russian Warship .. Done! Go F**K Postage Sheet ""W"" 3 Stamps",1000,,99,False,62
"Ukrainian stamp ""Russian Warship, Go..."" Glory To Ukraine! Series W",2199,,0,False,
"ID Identity Protection Roller Stamp Privacy Theft Guard,Knife +Ink Refill",799,Brand New,0,False,
2 Pcs Non Stick Fried Egg Shaper Stainless Steel Pancake Ring Mold Cooking Tool,799,Brand New,0,True,1974
Nurse & American Red Cross Rare 91 Year Old Mint Vintage Stamp Block from 1931,599,Brand New,100,False,
Marna Stamp Set,200,Brand New,412,False,
2022USA Forever Charles M Schulz - Sheet of 20   mint charlie brown peanuts  ,1720,,144,False,91
Carter's Stamp Pad Black Ink (21381) 166850 Black Ink Pad Rubber Stamp Foam Eco,395,Brand New,0,True,
US-2022 Scott #5746 Single MNH Stamp - Kwanzaa. Free Shipping.,144,,0,False,49
US GLOBAL FOREVER 100PCS ( Three style to choose ),2999,Brand New,0,False,
Craft Consortium A5 Clear Stamps Wildflower Meadow 499994464804,727,Brand New,0,False,
"US 1947 CIPEX 100th Anniversary Souvenir Sheet, Stamp 948, Mint MNH - JPSS",100,,0,False,438
(10) USPS Forever Stamps - 2019 US Flag - Postage For First Class Mail,695,,60,False,143
Scott # 5424 - 5427  US Christmas  Holiday Wreaths 20 Stamp   M/NH  O/G,1499,,0,False,
Three (3) Singles US Priority Stamp of $8.95 MONUMENT VALLEY. USA Scott # 5666,2500,,0,True,53
US Stamp - 2018 Frozen Treats - Booklet of 20 Forever Stamps - Scott #5285-94,1995,,200,False,
Personalized Round Notary Self Inking Stamp Custom Notary Stamp for any State,1698,Brand New,0,False,95
5PC Silicone Fermenting Lids BPA Free Waterless Airlock Mold Free Auto Vent,799,Brand New,0,False,
Mint US The Snowy Day Booklet Pane of 20 Forever Stamp Scott# 5246b (MNH),1799,,0,False,
50 Lighthouse Vario 8S Black Stamp Stock Pages 8 Rows Double Side Archival Sheet,3280,Brand New,0,False,202
US-2022 Scott #5747 Single MNH Stamp - Women Cryptologists. Free Shipping.,144,,0,False,38
